algoritmo,id_execucao,tempo_segundos,iteracoes,melhor_solucao,conflitos_finais,sucesso,fitness_final
GRASP,1,0.010397423999165767,11,"[2, 5, 1, 6, 4, 0, 7, 3]",0,1,1.0
GRASP,2,0.0013491150002664654,1,"[0, 4, 7, 5, 2, 6, 1, 3]",0,1,1.0
GRASP,3,0.0022793969983467832,2,"[5, 2, 4, 7, 0, 3, 1, 6]",0,1,1.0
GRASP,4,0.001104264998502913,1,"[6, 3, 1, 7, 5, 0, 2, 4]",0,1,1.0
GRASP,5,0.001255938999747741,1,"[2, 4, 1, 7, 5, 3, 6, 0]",0,1,1.0
GRASP,6,0.0008471300006931415,1,"[1, 4, 6, 0, 2, 7, 5, 3]",0,1,1.0
GRASP,7,0.0013591389997600345,2,"[2, 5, 7, 1, 3, 0, 6, 4]",0,1,1.0
GRASP,8,0.005879809999896679,8,"[0, 5, 7, 2, 6, 3, 1, 4]",0,1,1.0
GRASP,9,0.002397987998847384,2,"[3, 1, 6, 2, 5, 7, 0, 4]",0,1,1.0
GRASP,10,0.003785052000239375,4,"[2, 4, 6, 0, 3, 1, 7, 5]",0,1,1.0
GRASP,11,0.003111428999545751,4,"[2, 4, 6, 0, 3, 1, 7, 5]",0,1,1.0
GRASP,12,0.0011919739990844391,1,"[5, 2, 4, 7, 0, 3, 1, 6]",0,1,1.0
GRASP,13,0.002125966999301454,2,"[2, 5, 1, 4, 7, 0, 6, 3]",0,1,1.0
GRASP,14,0.004154989999733516,6,"[0, 4, 7, 5, 2, 6, 1, 3]",0,1,1.0
GRASP,15,0.009380005001730751,13,"[2, 7, 3, 6, 0, 5, 1, 4]",0,1,1.0
GRASP,16,0.005108096998810652,7,"[2, 5, 1, 4, 7, 0, 6, 3]",0,1,1.0
GRASP,17,0.0007595789993501967,1,"[2, 5, 3, 1, 7, 4, 6, 0]",0,1,1.0
GRASP,18,0.003326539999761735,5,"[1, 4, 6, 3, 0, 7, 5, 2]",0,1,1.0
GRASP,19,0.005881770999621949,7,"[2, 5, 1, 6, 0, 3, 7, 4]",0,1,1.0
GRASP,20,0.018089301000145497,27,"[2, 5, 7, 0, 4, 6, 1, 3]",0,1,1.0
GRASP,21,0.006233268999494612,10,"[1, 3, 5, 7, 2, 0, 6, 4]",0,1,1.0
GRASP,22,0.0008379800001421245,1,"[2, 5, 7, 0, 3, 6, 4, 1]",0,1,1.0
GRASP,23,0.007974161999300122,10,"[1, 6, 4, 7, 0, 3, 5, 2]",0,1,1.0
GRASP,24,0.0014051760008442216,2,"[0, 4, 7, 5, 2, 6, 1, 3]",0,1,1.0
GRASP,25,0.0009782479992281878,1,"[6, 1, 5, 2, 0, 3, 7, 4]",0,1,1.0
GRASP,26,0.0036282909986766754,7,"[2, 4, 1, 7, 0, 6, 3, 5]",0,1,1.0
GRASP,27,0.0007702099992457079,1,"[1, 5, 0, 6, 3, 7, 2, 4]",0,1,1.0
GRASP,28,0.0010348610012442805,2,"[2, 5, 3, 0, 7, 4, 6, 1]",0,1,1.0
GRASP,29,0.011413221000111662,7,"[1, 4, 6, 3, 0, 7, 5, 2]",0,1,1.0
GRASP,30,0.003317316999527975,1,"[1, 5, 7, 2, 0, 3, 6, 4]",0,1,1.0
GRASP,31,0.021952103001240175,23,"[1, 7, 5, 0, 2, 4, 6, 3]",0,1,1.0
GRASP,32,0.0004017930004920345,1,"[2, 4, 7, 3, 0, 6, 1, 5]",0,1,1.0
GRASP,33,0.0017059920010069618,2,"[2, 4, 6, 0, 3, 1, 7, 5]",0,1,1.0
GRASP,34,0.005151194000063697,5,"[2, 4, 1, 7, 0, 6, 3, 5]",0,1,1.0
GRASP,35,0.00867852800001856,13,"[1, 4, 6, 0, 2, 7, 5, 3]",0,1,1.0
GRASP,36,0.004307979999794043,4,"[2, 4, 1, 7, 0, 6, 3, 5]",0,1,1.0
GRASP,37,0.010358322000683984,16,"[0, 4, 7, 5, 2, 6, 1, 3]",0,1,1.0
GRASP,38,0.01576358300007996,21,"[2, 5, 3, 1, 7, 4, 6, 0]",0,1,1.0
GRASP,39,0.006521373999930802,10,"[2, 7, 3, 6, 0, 5, 1, 4]",0,1,1.0
GRASP,40,0.007730645000265213,10,"[2, 5, 1, 6, 4, 0, 7, 3]",0,1,1.0
GRASP,41,0.0023713129994575866,4,"[7, 3, 0, 2, 5, 1, 6, 4]",0,1,1.0
GRASP,42,0.0082502419991215,9,"[5, 2, 4, 7, 0, 3, 1, 6]",0,1,1.0
GRASP,43,0.002146593000361463,2,"[1, 6, 2, 5, 7, 4, 0, 3]",0,1,1.0
GRASP,44,0.0031915170002321247,3,"[2, 5, 7, 0, 4, 6, 1, 3]",0,1,1.0
GRASP,45,0.006710535000820528,10,"[2, 4, 6, 0, 3, 1, 7, 5]",0,1,1.0
GRASP,46,0.0009566520002408652,2,"[2, 5, 7, 1, 3, 0, 6, 4]",0,1,1.0
GRASP,47,0.002711094000915182,3,"[0, 4, 7, 5, 2, 6, 1, 3]",0,1,1.0
GRASP,48,0.0016162649990292266,2,"[2, 5, 1, 6, 0, 3, 7, 4]",0,1,1.0
GRASP,49,0.004711370998847997,6,"[2, 5, 3, 1, 7, 4, 6, 0]",0,1,1.0
GRASP,50,0.008378889999221428,10,"[5, 2, 6, 3, 0, 7, 1, 4]",0,1,1.0
GA,1,0.3889850010000373,1000,"[5, 1, 1, 4, 6, 3, 0, 2]",1,0,0.5
GA,2,0.4003160119991662,1000,"[4, 1, 4, 6, 3, 0, 2, 5]",1,0,0.5
GA,3,0.36494150399994396,1000,"[1, 3, 6, 6, 2, 0, 5, 7]",1,0,0.5
GA,4,0.32434407899927464,1000,"[4, 7, 0, 2, 6, 1, 3, 7]",1,0,0.5
GA,5,0.29769651199967484,877,"[6, 4, 2, 0, 5, 7, 1, 3]",0,1,1.0
GA,6,0.34139659900029073,1000,"[4, 7, 5, 3, 1, 6, 4, 2]",1,0,0.5
GA,7,0.3240462840003602,1000,"[6, 2, 7, 7, 0, 3, 1, 4]",1,0,0.5
GA,8,0.32375651900110824,1000,"[3, 6, 2, 7, 1, 4, 7, 5]",1,0,0.5
GA,9,0.011943958999836468,36,"[3, 0, 4, 7, 1, 6, 2, 5]",0,1,1.0
GA,10,0.003329277999000624,9,"[3, 1, 6, 2, 5, 7, 4, 0]",0,1,1.0
GA,11,0.3201778189995821,1000,"[7, 0, 4, 6, 1, 5, 2, 5]",1,0,0.5
GA,12,0.29869463999966683,932,"[3, 6, 2, 7, 1, 4, 0, 5]",0,1,1.0
GA,13,0.314910854000118,945,"[4, 1, 3, 5, 7, 2, 0, 6]",0,1,1.0
GA,14,0.3287650959991879,1000,"[4, 0, 5, 3, 1, 7, 2, 6]",1,0,0.5
GA,15,0.006988847999309655,22,"[4, 1, 5, 0, 6, 3, 7, 2]",0,1,1.0
GA,16,0.010077987999466131,32,"[3, 5, 0, 4, 1, 7, 2, 6]",0,1,1.0
GA,17,0.32634869499997876,1000,"[3, 0, 6, 1, 2, 5, 7, 4]",1,0,0.5
GA,18,0.323390694000409,1000,"[7, 2, 6, 3, 0, 4, 1, 5]",1,0,0.5
GA,19,0.13432347799971467,413,"[2, 5, 7, 0, 3, 6, 4, 1]",0,1,1.0
GA,20,0.006663705999017111,20,"[6, 4, 2, 0, 5, 7, 1, 3]",0,1,1.0
GA,21,0.01471820999904594,44,"[1, 7, 5, 0, 2, 4, 6, 3]",0,1,1.0
GA,22,0.24774804200023937,760,"[5, 1, 6, 0, 3, 7, 4, 2]",0,1,1.0
GA,23,0.010202077999565518,31,"[6, 0, 2, 7, 5, 3, 1, 4]",0,1,1.0
GA,24,0.3279988639988005,1000,"[3, 5, 2, 5, 1, 4, 7, 0]",1,0,0.5
GA,25,0.3295265960005054,1000,"[5, 0, 6, 1, 4, 2, 7, 3]",1,0,0.5
GA,26,0.18362060800063773,565,"[0, 4, 7, 5, 2, 6, 1, 3]",0,1,1.0
GA,27,0.3243576660006511,1000,"[5, 3, 5, 0, 4, 1, 7, 2]",1,0,0.5
GA,28,0.3246409869989293,1000,"[2, 4, 6, 0, 5, 1, 5, 7]",1,0,0.5
GA,29,0.3252861929995561,1000,"[3, 5, 0, 4, 1, 7, 5, 2]",1,0,0.5
GA,30,0.08042654100063373,251,"[1, 4, 6, 3, 0, 7, 5, 2]",0,1,1.0
GA,31,0.3244299679990945,1000,"[3, 0, 6, 1, 5, 7, 2, 4]",1,0,0.5
GA,32,0.3248477949982771,1000,"[1, 4, 7, 3, 0, 2, 5, 6]",1,0,0.5
GA,33,0.010125277998668025,32,"[4, 6, 1, 3, 7, 0, 2, 5]",0,1,1.0
