algoritmo,id_execucao,tempo_segundos,iteracoes,melhor_solucao,conflitos_finais,fitness_final,sucesso
GA,10,0.003329277999000624,9,"[3, 1, 6, 2, 5, 7, 4, 0]",0,1.0,1
GA,20,0.006663705999017111,20,"[6, 4, 2, 0, 5, 7, 1, 3]",0,1.0,1
GA,15,0.006988847999309655,22,"[4, 1, 5, 0, 6, 3, 7, 2]",0,1.0,1
GA,16,0.010077987999466131,32,"[3, 5, 0, 4, 1, 7, 2, 6]",0,1.0,1
GA,33,0.010125277998668025,32,"[4, 6, 1, 3, 7, 0, 2, 5]",0,1.0,1
GRASP,32,0.0004017930004920345,1,"[2, 4, 7, 3, 0, 6, 1, 5]",0,1.0,1
GRASP,17,0.0007595789993501967,1,"[2, 5, 3, 1, 7, 4, 6, 0]",0,1.0,1
GRASP,27,0.0007702099992457079,1,"[1, 5, 0, 6, 3, 7, 2, 4]",0,1.0,1
GRASP,22,0.0008379800001421245,1,"[2, 5, 7, 0, 3, 6, 4, 1]",0,1.0,1
GRASP,6,0.0008471300006931415,1,"[1, 4, 6, 0, 2, 7, 5, 3]",0,1.0,1
